"Cod_IBGE";"Grande regiao";"Municipio";"casos_acum";"obitos_acum"
3516200;"Interior";"Franca";39393;1340
3516309;"RMSP (exceto capital)";"Francisco Morato";16047;481
3516408;"RMSP (exceto capital)";"Franco da Rocha";18883;447
3516507;"Interior";"Gabriel Monteiro";1246;8
3516606;"Interior";"G·lia";1150;24
3516705;"Interior";"GarÁa";13233;176
3516804;"Interior";"Gast„o Vidigal";654;18
3516853;"Interior";"Gavi„o Peixoto";2357;24
3516903;"Interior";"General Salgado";1621;52
3517000;"Interior";"Getulina";1083;38
3517109;"Interior";"GlicÈrio";1487;24
3517208;"Interior";"GuaiÁara";1956;31
3517307;"Interior";"GuaimbÍ";1093;9
3517406;"Interior";"GuaÌra";10457;248
3517505;"Interior";"GuapiaÁu";2642;103
3517604;"Interior";"Guapiara";3293;96
3517703;"Interior";"Guar·";4144;118
3517802;"Interior";"GuaraÁaÌ";1731;31
3517901;"Interior";"Guaraci";2767;32
3518008;"Interior";"Guarani d'Oeste";1041;9
3518107;"Interior";"Guarant„";324;25
3518206;"Interior";"Guararapes";10558;139
3518305;"RMSP (exceto capital)";"Guararema";2609;111
3518404;"Interior";"Guaratinguet·";18348;403
3518503;"Interior";"GuareÌ";4644;41
3518602;"Interior";"Guariba";5656;131
3518701;"Interior";"Guaruj·";35359;1620
3518800;"RMSP (exceto capital)";"Guarulhos";114487;5661
3518859;"Interior";"Guatapar·";1248;29
3518909;"Interior";"Guzol‚ndia";958;34
3519006;"Interior";"Hercul‚ndia";1263;34
3519055;"Interior";"Holambra";4089;25
3519071;"Interior";"Hortol‚ndia";42238;904
3519105;"Interior";"Iacanga";2024;35
3519204;"Interior";"Iacri";1851;27
3519253;"Interior";"Iaras";303;24
3519303;"Interior";"IbatÈ";6485;114
3519402;"Interior";"Ibir·";3025;54
3519501;"Interior";"Ibirarema";1233;40
3519600;"Interior";"Ibitinga";16002;314
3519709;"Interior";"Ibi˙na";5373;166
3519808;"Interior";"IcÈm";2146;40
3519907;"Interior";"IepÍ";2113;36
3520004;"Interior";"IgaraÁu do TietÍ";6287;76
3520103;"Interior";"Igarapava";1422;111
3520202;"Interior";"Igarat·";2467;43
3520301;"Interior";"Iguape";6032;128
3520400;"Interior";"Ilhabela";7505;56
3520426;"Interior";"Ilha Comprida";4775;65
3520442;"Interior";"Ilha Solteira";4545;123
3520509;"Interior";"Indaiatuba";28748;913
3520608;"Interior";"Indiana";524;14
3520707;"Interior";"Indiapor„";1489;14
3520806;"Interior";"In˙bia Paulista";1427;22
3520905;"Interior";"Ipaussu";4744;57
3521002;"Interior";"IperÛ";6749;82
3521101;"Interior";"Ipe˙na";789;25
3521150;"Interior";"Ipigu·";2105;33
3521200;"Interior";"Iporanga";958;9
3521309;"Interior";"Ipu„";2894;71
3521408;"Interior";"Iracem·polis";6995;113
3521507;"Interior";"Irapu„";1585;34
3521606;"Interior";"Irapuru";2091;45
3521705;"Interior";"Itaber·";6311;86
3521804;"Interior";"ItaÌ";7993;95
3521903;"Interior";"Itajobi";5890;76
3522000;"Interior";"Itaju";1070;14
3522109;"Interior";"ItanhaÈm";15428;424
3522158;"Interior";"Itaoca";287;8
3522208;"RMSP (exceto capital)";"Itapecerica da Serra";13849;508
3522307;"Interior";"Itapetininga";18329;621
3522406;"Interior";"Itapeva";24853;485
3522505;"RMSP (exceto capital)";"Itapevi";13177;794
3522604;"Interior";"Itapira";20672;383
3522653;"Interior";"Itapirapu„ Paulista";1374;8
3522703;"Interior";"It·polis";15443;190
3522802;"Interior";"Itaporanga";3426;61
3522901;"Interior";"ItapuÌ";2624;49
3523008;"Interior";"Itapura";694;17
3523107;"RMSP (exceto capital)";"Itaquaquecetuba";33142;1180
3523206;"Interior";"ItararÈ";11576;280
3523305;"Interior";"Itariri";2003;55
3523404;"Interior";"Itatiba";31353;397
3523503;"Interior";"Itatinga";4698;70
3523602;"Interior";"Itirapina";3176;52
3523701;"Interior";"Itirapu„";326;8
3523800;"Interior";"Itobi";1414;24
3523909;"Interior";"Itu";40201;609
3524006;"Interior";"Itupeva";10211;172
3524105;"Interior";"Ituverava";4014;165
3524204;"Interior";"Jaborandi";623;25
3524303;"Interior";"Jaboticabal";9618;294
3524402;"Interior";"JacareÌ";32526;958
3524501;"Interior";"Jaci";2866;34
3524600;"Interior";"Jacupiranga";3558;67
3524709;"Interior";"Jaguari˙na";13082;210
3524808;"Interior";"Jales";17461;324
3524907;"Interior";"Jambeiro";560;18
3525003;"RMSP (exceto capital)";"Jandira";9901;372
3525102;"Interior";"JardinÛpolis";5312;172
3525201;"Interior";"Jarinu";3628;99
3525300;"Interior";"Ja˙";25612;625
3525409;"Interior";"Jeriquara";647;3
3525508;"Interior";"JoanÛpolis";1587;21
3525607;"Interior";"Jo„o Ramalho";1265;15
3525706;"Interior";"JosÈ Bonif·cio";10173;179
3525805;"Interior";"J˙lio Mesquita";368;17
3525854;"Interior";"Jumirim";689;8
3525904;"Interior";"JundiaÌ";74540;1866
3526001;"Interior";"JunqueirÛpolis";5512;114
3526100;"Interior";"Juqui·";3538;72
3526209;"RMSP (exceto capital)";"Juquitiba";1837;87
3526308;"Interior";"Lagoinha";251;16
3526407;"Interior";"Laranjal Paulista";6397;147
3526506;"Interior";"LavÌnia";1717;22
3526605;"Interior";"Lavrinhas";387;16
3526704;"Interior";"Leme";24203;482
3526803;"Interior";"LenÁÛis Paulista";26703;218
3526902;"Interior";"Limeira";43982;1331
3527009;"Interior";"LindÛia";3427;24
3527108;"Interior";"Lins";15640;348
3527207;"Interior";"Lorena";8065;284
3527256;"Interior";"Lourdes";495;6
3527306;"Interior";"Louveira";12859;132
3527405;"Interior";"LucÈlia";4761;87
3527504;"Interior";"LucianÛpolis";507;6
3527603;"Interior";"LuÌs AntÙnio";3708;46
3527702;"Interior";"Luizi‚nia";578;16
3527801;"Interior";"LupÈrcio";278;8
3527900;"Interior";"LutÈcia";962;8
3528007;"Interior";"Macatuba";5411;63
3528106;"Interior";"Macaubal";1907;25
3528205;"Interior";"MacedÙnia";1233;32
3528304;"Interior";"Magda";984;12
3528403;"Interior";"Mairinque";5310;93
3528502;"RMSP (exceto capital)";"Mairipor„";7647;292
3528601;"Interior";"Manduri";1001;33
3528700;"Interior";"Marab· Paulista";1004;6
3528809;"Interior";"MaracaÌ";3623;57
3528858;"Interior";"Marapoama";1335;15
3528908;"Interior";"Mari·polis";1363;13
3529005;"Interior";"MarÌlia";44363;1207
3529104;"Interior";"MarinÛpolis";873;7
3529203;"Interior";"MartinÛpolis";2639;104
3529302;"Interior";"Mat„o";8908;243
3529401;"RMSP (exceto capital)";"Mau·";39255;1716
3529500;"Interior";"MendonÁa";2362;35
3529609;"Interior";"Meridiano";663;42
3529658;"Interior";"MesÛpolis";726;7
3529708;"Interior";"MiguelÛpolis";1542;107
3529807;"Interior";"Mineiros do TietÍ";2487;35
3529906;"Interior";"Miracatu";3685;86
3530003;"Interior";"Mira Estrela";637;16
3530102;"Interior";"MirandÛpolis";2312;121
3530201;"Interior";"Mirante do Paranapanema";2920;53
3530300;"Interior";"Mirassol";10649;338
3530409;"Interior";"Mirassol‚ndia";791;23
3530508;"Interior";"Mococa";15327;302
3530607;"RMSP (exceto capital)";"Mogi das Cruzes";56736;1928
3530706;"Interior";"Mogi GuaÁu";40863;742
3530805;"Interior";"Mogi Mirim";26915;439
3530904;"Interior";"Mombuca";471;11
3531001;"Interior";"MonÁıes";581;8
3531100;"Interior";"Mongagu·";3798;115
3531209;"Interior";"Monte Alegre do Sul";1860;24
3531308;"Interior";"Monte Alto";11137;236
3531407;"Interior";"Monte AprazÌvel";5039;125
3531506;"Interior";"Monte Azul Paulista";2399;31
3531605;"Interior";"Monte Castelo";1758;25
3531704;"Interior";"Monteiro Lobato";334;14
3531803;"Interior";"Monte Mor";8631;179
3531902;"Interior";"Morro Agudo";6316;118
3532009;"Interior";"Morungaba";1093;42
3532058;"Interior";"Motuca";382;11
3532108;"Interior";"Murutinga do Sul";1229;22
3532157;"Interior";"Nantes";264;8
3532207;"Interior";"Narandiba";1986;25
3532306;"Interior";"Natividade da Serra";259;16
3532405;"Interior";"NazarÈ Paulista";3239;71
3532504;"Interior";"Neves Paulista";2778;67
3532603;"Interior";"Nhandeara";3425;60
3532702;"Interior";"Nipo„";562;20
3532801;"Interior";"Nova AlianÁa";1595;35
3532827;"Interior";"Nova Campina";1335;46
3532843;"Interior";"Nova Cana„ Paulista";850;10
3532868;"Interior";"Nova Castilho";324;4
3532900;"Interior";"Nova Europa";883;31
3533007;"Interior";"Nova Granada";6962;92
3533106;"Interior";"Nova Guataporanga";173;6
3533205;"Interior";"Nova IndependÍncia";1809;8
3533254;"Interior";"Novais";325;21
3533304;"Interior";"Nova Luzit‚nia";397;15
3533403;"Interior";"Nova Odessa";11681;286
3533502;"Interior";"Novo Horizonte";6666;251
3533601;"Interior";"Nuporanga";425;16
3533700;"Interior";"OcauÁu";956;9
3533809;"Interior";"”leo";163;6
3533908;"Interior";"OlÌmpia";15740;324
3534005;"Interior";"Onda Verde";1004;31
3534104;"Interior";"Oriente";447;29
3534203;"Interior";"Orindi˙va";2518;20
3534302;"Interior";"Orl‚ndia";8715;134
3534401;"RMSP (exceto capital)";"Osasco";49346;3236
3534500;"Interior";"Oscar Bressane";734;10
3534609;"Interior";"Osvaldo Cruz";10490;145
3534708;"Interior";"Ourinhos";28128;603
3534757;"Interior";"Ouroeste";3111;54
3534807;"Interior";"Ouro Verde";1162;41
3534906;"Interior";"Pacaembu";4277;61
3535002;"Interior";"Palestina";2917;51
3535101;"Interior";"Palmares Paulista";2599;47
3535200;"Interior";"Palmeira d'Oeste";2938;45
3535309;"Interior";"Palmital";4984;83
3535408;"Interior";"Panorama";4205;85
3535507;"Interior";"ParaguaÁu Paulista";10670;179
3535606;"Interior";"Paraibuna";1364;60
3535705;"Interior";"ParaÌso";1399;31
3535804;"Interior";"Paranapanema";2204;91
3535903;"Interior";"Paranapu„";1441;30
3536000;"Interior";"Parapu„";1618;53
3536109;"Interior";"Pardinho";1227;19
3536208;"Interior";"Pariquera-AÁu";4574;77
3536257;"Interior";"Parisi";1134;20
3536307;"Interior";"PatrocÌnio Paulista";1151;47
3536406;"Interior";"PaulicÈia";2054;28
3536505;"Interior";"PaulÌnia";27712;357
3536570;"Interior";"Paulist‚nia";216;7
3536604;"Interior";"Paulo de Faria";1736;46
3536703;"Interior";"Pederneiras";10934;145
3536802;"Interior";"Pedra Bela";302;11
3536901;"Interior";"PedranÛpolis";282;13
3537008;"Interior";"Pedregulho";399;29
3537107;"Interior";"Pedreira";6425;152
3537156;"Interior";"Pedrinhas Paulista";781;15
3537206;"Interior";"Pedro de Toledo";1176;26
3537305;"Interior";"Pen·polis";21686;331
3537404;"Interior";"Pereira Barreto";5856;120
3537503;"Interior";"Pereiras";1218;23
3537602;"Interior";"PeruÌbe";13203;317
3537701;"Interior";"Piacatu";2045;12
3537800;"Interior";"Piedade";9466;193
3537909;"Interior";"Pilar do Sul";6949;95
3538006;"Interior";"Pindamonhangaba";41172;617
3538105;"Interior";"Pindorama";4348;72
3538204;"Interior";"Pinhalzinho";2753;43
3538303;"Interior";"Piquerobi";267;9
3538501;"Interior";"Piquete";421;35
3538600;"Interior";"Piracaia";6166;105
3538709;"Interior";"Piracicaba";109386;1711
3538808;"Interior";"Piraju";8206;124
3538907;"Interior";"PirajuÌ";5123;77
3539004;"Interior";"Pirangi";3338;74
3539103;"RMSP (exceto capital)";"Pirapora do Bom Jesus";1685;29
3539202;"Interior";"Pirapozinho";4450;94
3539301;"Interior";"Pirassununga";21387;322
3539400;"Interior";"Piratininga";2344;52
3539509;"Interior";"Pitangueiras";8927;200
3539608;"Interior";"Planalto";1475;14
3539707;"Interior";"Platina";754;12
3539806;"RMSP (exceto capital)";"Po·";13278;454
3539905;"Interior";"Poloni";2069;25
3540002;"Interior";"PompÈia";1073;69
3540101;"Interior";"PongaÌ";400;12
3540200;"Interior";"Pontal";9025;187
3540259;"Interior";"Pontalinda";605;20
3540309;"Interior";"Pontes Gestal";973;12
3540408;"Interior";"Populina";1566;23
3540507;"Interior";"Porangaba";1249;26
3540606;"Interior";"Porto Feliz";14786;201
3540705;"Interior";"Porto Ferreira";18192;221
3540754;"Interior";"Potim";3750;41
3540804;"Interior";"Potirendaba";6147;101
3540853;"Interior";"Pracinha";569;6
3540903;"Interior";"PradÛpolis";2070;49
3541000;"Interior";"Praia Grande";32923;1396
3541059;"Interior";"Prat‚nia";1646;19
3541109;"Interior";"Presidente Alves";729;11
3541208;"Interior";"Presidente Bernardes";1431;53
3541307;"Interior";"Presidente Epit·cio";7183;153
3541406;"Interior";"Presidente Prudente";43997;1104
3541505;"Interior";"Presidente Venceslau";6596;142
3541604;"Interior";"Promiss„o";10528;132
3541653;"Interior";"Quadra";255;9
3541703;"Interior";"Quat·";2985;32
3541802;"Interior";"Queiroz";1061;3
3541901;"Interior";"Queluz";1094;32
3542008;"Interior";"Quintana";590;34
3542107;"Interior";"Rafard";1174;18
3542206;"Interior";"Rancharia";8229;123
3542305;"Interior";"RedenÁ„o da Serra";132;9
3542404;"Interior";"Regente FeijÛ";2442;83
3542503;"Interior";"ReginÛpolis";1064;26
3542602;"Interior";"Registro";13603;261
3542701;"Interior";"Restinga";730;10
3542800;"Interior";"Ribeira";539;9
3542909;"Interior";"Ribeir„o Bonito";1838;36
3543006;"Interior";"Ribeir„o Branco";2848;72
3543105;"Interior";"Ribeir„o Corrente";348;6
3543204;"Interior";"Ribeir„o do Sul";722;27
3543238;"Interior";"Ribeir„o dos Õndios";119;8
3543253;"Interior";"Ribeir„o Grande";535;30
3543303;"RMSP (exceto capital)";"Ribeir„o Pires";15919;410
3543402;"Interior";"Ribeir„o Preto";109470;3598
3543501;"Interior";"Riversul";1049;33
3543600;"Interior";"Rifaina";1181;13
3543709;"Interior";"Rinc„o";2394;50
3543808;"Interior";"RinÛpolis";677;22
3543907;"Interior";"Rio Claro";14075;739
3544004;"Interior";"Rio das Pedras";3763;122
3544103;"RMSP (exceto capital)";"Rio Grande da Serra";2446;110
3544202;"Interior";"Riol‚ndia";3088;34
3544251;"Interior";"Rosana";5311;57
3544301;"Interior";"Roseira";1615;33
3544400;"Interior";"Rubi·cea";741;11
3544509;"Interior";"RubinÈia";1533;20
3544608;"Interior";"Sabino";316;32
3544707;"Interior";"Sagres";267;4
3544806;"Interior";"Sales";1385;50
3544905;"Interior";"Sales Oliveira";1869;35
3545001;"RMSP (exceto capital)";"SalesÛpolis";733;65
3545100;"Interior";"Salmour„o";555;26
3545159;"Interior";"Saltinho";2581;26
3545209;"Interior";"Salto";27368;540
3545308;"Interior";"Salto de Pirapora";4483;191
3545407;"Interior";"Salto Grande";2100;19
3545506;"Interior";"Sandovalina";912;17
3545605;"Interior";"Santa AdÈlia";2909;75
3545704;"Interior";"Santa Albertina";2721;32
3545803;"Interior";"Santa B·rbara d'Oeste";39720;933
3546009;"Interior";"Santa Branca";2258;40
3546108;"Interior";"Santa Clara d'Oeste";592;26
3546207;"Interior";"Santa Cruz da ConceiÁ„o";2113;17
3546256;"Interior";"Santa Cruz da EsperanÁa";206;8
3546306;"Interior";"Santa Cruz das Palmeiras";5975;140
3546405;"Interior";"Santa Cruz do Rio Pardo";9449;211
3546504;"Interior";"Santa Ernestina";566;22
3546603;"Interior";"Santa FÈ do Sul";10285;170
3546702;"Interior";"Santa Gertrudes";3950;88
3546801;"RMSP (exceto capital)";"Santa Isabel";9973;301
3546900;"Interior";"Santa L˙cia";809;27
3547007;"Interior";"Santa Maria da Serra";1364;12
3547106;"Interior";"Santa Mercedes";966;11
3547205;"Interior";"Santana da Ponte Pensa";577;6
3547304;"RMSP (exceto capital)";"Santana de ParnaÌba";29565;453
3547403;"Interior";"Santa Rita d'Oeste";461;17
3547502;"Interior";"Santa Rita do Passa Quatro";1848;50
3547601;"Interior";"Santa Rosa de Viterbo";2519;61
3547650;"Interior";"Santa Salete";768;9
3547700;"Interior";"Santo Anast·cio";4099;73
3547809;"RMSP (exceto capital)";"Santo AndrÈ";108648;3605
3547908;"Interior";"Santo AntÙnio da Alegria";656;26
3548005;"Interior";"Santo AntÙnio de Posse";5063;74
3548054;"Interior";"Santo AntÙnio do Aracangu·";594;40
3548104;"Interior";"Santo AntÙnio do Jardim";1500;26
3548203;"Interior";"Santo AntÙnio do Pinhal";1590;11
3548302;"Interior";"Santo Expedito";216;11
3548401;"Interior";"SantÛpolis do AguapeÌ";763;19
3548500;"Interior";"Santos";88347;2679
3548609;"Interior";"S„o Bento do SapucaÌ";823;14
3548708;"RMSP (exceto capital)";"S„o Bernardo do Campo";78834;3931
3548807;"RMSP (exceto capital)";"S„o Caetano do Sul";38847;1206
3548906;"Interior";"S„o Carlos";38383;660
3549003;"Interior";"S„o Francisco";934;22
3549102;"Interior";"S„o Jo„o da Boa Vista";27584;408
3549201;"Interior";"S„o Jo„o das Duas Pontes";834;11
3549250;"Interior";"S„o Jo„o de Iracema";936;10
3549300;"Interior";"S„o Jo„o do Pau d'Alho";261;4
3549409;"Interior";"S„o Joaquim da Barra";7467;186
3549508;"Interior";"S„o JosÈ da Bela Vista";341;23
3549607;"Interior";"S„o JosÈ do Barreiro";764;9
3549706;"Interior";"S„o JosÈ do Rio Pardo";8044;184
3549805;"Interior";"S„o JosÈ do Rio Preto";168962;3273
3549904;"Interior";"S„o JosÈ dos Campos";138024;2450
3549953;"RMSP (exceto capital)";"S„o LourenÁo da Serra";716;42
3550001;"Interior";"S„o Luiz do Paraitinga";981;38
3550100;"Interior";"S„o Manuel";6727;178
3550209;"Interior";"S„o Miguel Arcanjo";5155;91
3550308;"Capital";"S„o Paulo";1205719;45839
3550407;"Interior";"S„o Pedro";11254;127
3550506;"Interior";"S„o Pedro do Turvo";1024;17
3550605;"Interior";"S„o Roque";7241;139
3550704;"Interior";"S„o Sebasti„o";8811;208
3550803;"Interior";"S„o Sebasti„o da Grama";2850;40
3550902;"Interior";"S„o Sim„o";1697;39
3551009;"Interior";"S„o Vicente";32942;1484
3551108;"Interior";"SarapuÌ";526;7
3551207;"Interior";"Sarutai·";155;23
3551306;"Interior";"SebastianÛpolis do Sul";383;12
3551405;"Interior";"Serra Azul";1479;22
3551504;"Interior";"Serrana";12147;153
3551603;"Interior";"Serra Negra";7552;110
3551702;"Interior";"Sert„ozinho";20348;581
3551801;"Interior";"Sete Barras";3119;49
3551900;"Interior";"SeverÌnia";3050;86
3552007;"Interior";"Silveiras";569;11
3552106;"Interior";"Socorro";7107;116
3552205;"Interior";"Sorocaba";115768;3283
3552304;"Interior";"Sud Mennucci";967;25
3552403;"Interior";"SumarÈ";43605;1017
3552502;"Interior";"Suzano";30762;1060
3552551;"Interior";"Suzan·polis";510;13
3552601;"Interior";"Tabapu„";3398;79
3552700;"Interior";"Tabatinga";3066;62
3552809;"Interior";"Tabo„o da Serra";20102;1064
3552908;"Interior";"Taciba";870;28
3553005;"Interior";"TaguaÌ";3507;47
3553104;"Interior";"TaiaÁu";1563;19
3553203;"Interior";"Tai˙va";1113;21
3553302;"Interior";"Tamba˙";5794;63
3553401;"Interior";"Tanabi";7382;141
3553500;"Interior";"TapiraÌ";873;11
3553609;"Interior";"Tapiratiba";3101;44
3553658;"Interior";"Taquaral";448;13
3553708;"Interior";"Taquaritinga";15093;257
3553807;"Interior";"Taquarituba";7590;124
3553856;"Interior";"TaquarivaÌ";1105;22
3553906;"Interior";"Tarabai";1123;36
3553955;"Interior";"Tarum„";1828;58
3554003;"Interior";"TatuÌ";22967;542
3554102;"Interior";"TaubatÈ";43209;1240
3554201;"Interior";"Tejup·";438;13
3554300;"Interior";"Teodoro Sampaio";4063;61
3554409;"Interior";"Terra Roxa";1409;40
3554508;"Interior";"TietÍ";9316;136
3554607;"Interior";"Timburi";889;16
3554656;"Interior";"Torre de Pedra";238;14
3554706;"Interior";"Torrinha";4292;28
3554755;"Interior";"Trabiju";459;5
3554805;"Interior";"TremembÈ";3058;74
3554904;"Interior";"TrÍs Fronteiras";2103;39
3554953;"Interior";"Tuiuti";1334;23
3555000;"Interior";"Tup„";8323;352
3555109;"Interior";"Tupi Paulista";4606;59
3555208;"Interior";"Turi˙ba";570;4
3555307;"Interior";"Turmalina";662;7
3555356;"Interior";"Ubarana";1843;25
